#lambda		IT	shiftm		deltapi0	VacEnergy	Mass		c1		dc1
0		0	0		0		0		1		1		0
0.2		9	0.00269357	0.0185421	-0.000653203	0.991608	0.447062	0.0984944
0.4		9	0.0187972	0.0739569	-0.00261261	0.970341	0.436629	0.0979302
0.6		9	0.0573655	0.168405	-0.00592116	0.939091	0.421035	0.0968971
0.8		9	0.126408	0.306697	-0.0106641	0.898675	0.400423	0.0951823
1.0		9	0.23509		0.496709	-0.0169667	0.848635	0.374278	0.0924269
1.2		19	0.396042	0.751212	-0.0250063	0.787198	0.341417	0.0880167
1.4		24	0.629899	1.09271		-0.0350423	0.710403	0.299651	0.0808089
1.6		39	0.978872	1.56896		-0.0474964	0.608809	0.244737	0.0683072
1.8		79	1.58347		2.34174		-0.0632577	0.447405	0.166043	0.0424141
1.87		79	2.02411		2.87802		-0.0700648	0.331393	0.125997	0.0217358
1.88		199	2.14738		3.0248		-0.0711594	0.298122	0.11885		0.0160995
1.89		199	2.85799		3.8365		-0.070711	0.101634	0.141803	0.00143261
1.9		79	2.91142		3.89291		-0.0711458	0.0925061	0.146395	0.00104291
1.91		79	2.9532		3.93654		-0.0716596	0.0865232	0.149654	0.000697334
2.0		35	3.21926		4.2087		-0.0773235	0.0645134	0.163355	0.00103351
2.1		39	3.46256		4.45425		-0.0842829	0.0550867	0.170254	0.00195241
2.5		38	4.36426		5.35903		-0.115435	0.040171	0.1838		0.00336148
3.0		38	5.45774		6.45375		-0.159213	0.0330175	0.192319	0.00383984
